dataset,test_bat,seed,model,re,rmse,mae
NASA,B0018,2,gru,0.0,0.0219417352446204,0.0146775538817307
NASA,B0018,2,det,0.0206185567010309,0.0177320900182601,0.0119731918574895
NASA,B0018,2,model_v1,0.0206185567010309,0.0158590036787695,0.0127795159701825
NASA,B0018,3,lstm,0.0,0.0163201049876169,0.0128698849020409
NASA,B0018,3,gru,0.0618556701030927,0.0241198722810221,0.0161483169780189
NASA,B0018,3,det,0.0515463917525773,0.0179971008770236,0.0130095380869003
NASA,B0018,3,model_v1,0.0103092783505154,0.0171257499092642,0.012554333213146
NASA,B0018,4,lstm,0.0309278350515463,0.0161114931795688,0.0118881348020848
NASA,B0018,4,gru,0.0,0.02675943849492,0.0186683089891155
NASA,B0018,4,det,1.0,0.0445166582575077,0.038643796954839
NASA,B0018,4,model_v1,0.0103092783505154,0.02277881811443,0.016106005489198
NASA,B0018,5,lstm,0.0206185567010309,0.0159725941564188,0.0127032988897448
NASA,B0018,5,gru,0.0103092783505154,0.0211883693018284,0.0143251782330241
NASA,B0018,5,det,0.0103092783505154,0.015800395923051,0.0123890988475568
NASA,B0018,5,model_v1,0.0206185567010309,0.0151704525086402,0.0118262259850325
CALCE,CS2_35,1,lstm,0.0124804992199688,0.0346116059969066,0.0296212707826179
CALCE,CS2_35,1,gru,0.0031201248049922,0.0382373896832504,0.0357669218441027
CALCE,CS2_35,1,det,0.0390015600624025,0.0318737567116267,0.0270781752280429
CALCE,CS2_35,1,model_v1,0.0265210608424337,0.0235678060218978,0.0175611041862796
CALCE,CS2_35,2,lstm,0.0062402496099844,0.0190365295087171,0.0149643180573459
CALCE,CS2_35,2,gru,0.0249609984399376,0.0350262533142147,0.032499101041546
CALCE,CS2_35,2,det,0.0577223088923556,0.0267752374737821,0.0224350015313968
CALCE,CS2_35,2,model_v1,0.0015600624024961,0.029449711947849,0.0253968272541601
CALCE,CS2_35,3,lstm,0.0046801872074883,0.0157830893002871,0.0118086646872933
CALCE,CS2_35,3,gru,0.0078003120124804,0.0212955335204031,0.0172705059949353
CALCE,CS2_35,3,det,0.0608424336973478,0.0161125474755186,0.0126843704202182
CALCE,CS2_35,3,model_v1,0.0093603744149766,0.0318319402276773,0.0253798751123261
CALCE,CS2_35,4,lstm,0.0093603744149766,0.0171327294622741,0.013045649156456
CALCE,CS2_35,4,gru,0.0358814352574103,0.0640136839386393,0.0551916499336086
CALCE,CS2_35,4,det,0.078003120124805,0.0240718498509607,0.0208482311344498
CALCE,CS2_35,4,model_v1,0.0046801872074883,0.0414410632292085,0.0349831932910997
CALCE,CS2_35,5,lstm,0.0031201248049922,0.0491934173009048,0.0455004805917894
CALCE,CS2_35,5,gru,0.0327613104524181,0.0172953731614817,0.0136462329299847
CALCE,CS2_35,5,det,0.0452418096723869,0.0410923101164902,0.0339390621854167
CALCE,CS2_35,5,model_v1,0.0171606864274571,0.0323385910407637,0.0257147564891798
CALCE,CS2_36,1,lstm,0.2648752399232246,0.039707732948119,0.0374366932171868
CALCE,CS2_36,1,gru,0.3301343570057581,0.0197441099051819,0.0157577396917981
CALCE,CS2_36,1,det,0.2955854126679462,0.0212489349565636,0.015597908970711
CALCE,CS2_36,1,model_v1,0.255278310940499,0.0243698106961592,0.0205405468823057
CALCE,CS2_36,2,lstm,0.2437619961612284,0.0270237088762883,0.0234389577821149
CALCE,CS2_36,2,gru,0.1785028790786948,0.0717395535839455,0.069483271660417
CALCE,CS2_36,2,det,0.291746641074856,0.0336924096463095,0.0297403530347645
CALCE,CS2_36,2,model_v1,0.2687140115163148,0.0283482799514855,0.0243812503429881
CALCE,CS2_36,3,lstm,0.2437619961612284,0.0247540692081226,0.0211266019894516
CALCE,CS2_36,3,gru,0.2456813819577735,0.0310031062715706,0.027407327583776
CALCE,CS2_36,3,det,0.2763915547024952,0.0220284810061943,0.0174280577287903
CALCE,CS2_36,3,model_v1,0.2763915547024952,0.0234583269703419,0.0194382114650514
CALCE,CS2_36,4,lstm,0.2399232245681382,0.0237468945174994,0.0196480254336361
CALCE,CS2_36,4,gru,0.272552783109405,0.0705784256193016,0.0672679376112172
CALCE,CS2_36,4,det,0.2418426103646833,0.0537817266651902,0.0509877050554605
CALCE,CS2_36,4,model_v1,0.2533589251439539,0.0198893413755707,0.0133339177546683
CALCE,CS2_36,5,lstm,0.2495201535508637,0.0592255405950754,0.0573135141815486
CALCE,CS2_36,5,gru,0.3358925143953934,0.0650138526854575,0.0626581694240261
