,dataset,test_bat,seed,model,re,rmse,mae
109,CALCE,CS2_36,3,gru,0.2456813819577735,0.031003106271570692,0.027407327583776012
110,CALCE,CS2_36,3,det,0.2763915547024952,0.022028481006194336,0.017428057728790327
111,CALCE,CS2_36,3,model_v1,0.2763915547024952,0.023458326970341985,0.019438211465051453
112,CALCE,CS2_36,4,lstm,0.2399232245681382,0.023746894517499496,0.019648025433636165
113,CALCE,CS2_36,4,gru,0.272552783109405,0.07057842561930168,0.06726793761121723
114,CALCE,CS2_36,4,det,0.2418426103646833,0.05378172666519021,0.05098770505546053
115,CALCE,CS2_36,4,model_v1,0.2533589251439539,0.019889341375570784,0.013333917754668323
116,CALCE,CS2_36,5,lstm,0.2495201535508637,0.05922554059507549,0.05731351418154862
117,CALCE,CS2_36,5,gru,0.33589251439539347,0.06501385268545752,0.06265816942402613
118,CALCE,CS2_36,5,det,0.31094049904030713,0.03370845934088209,0.030412279697139593
119,CALCE,CS2_36,5,model_v1,0.2533589251439539,0.08602503537042995,0.0754871726641649
120,CALCE,CS2_37,1,lstm,0.09483960948396095,0.042020164174370454,0.03643317738216852
121,CALCE,CS2_37,1,gru,0.100418410041841,0.039190105346658864,0.029365611448639754
122,CALCE,CS2_37,1,det,0.08647140864714087,0.03271225923231242,0.021284954429350893
123,CALCE,CS2_37,1,model_v1,0.09344490934449093,0.03628813239208251,0.021130387359365677
124,CALCE,CS2_37,2,lstm,0.1101813110181311,0.0668541365179825,0.03479887263339479
125,CALCE,CS2_37,2,gru,0.09065550906555091,0.038609027849405966,0.03306250526312223
126,CALCE,CS2_37,2,det,0.100418410041841,0.04226533192961922,0.035846321633181966
127,CALCE,CS2_37,2,model_v1,0.09902370990237098,0.042826152438714855,0.023277473222150437
128,CALCE,CS2_37,3,lstm,0.1087866108786611,0.04428901873188554,0.024887314621433107
129,CALCE,CS2_37,3,gru,0.1087866108786611,0.044599432872818784,0.03657417109450349
130,CALCE,CS2_37,3,det,0.08926080892608089,0.050375589403759594,0.04599555831542471
131,CALCE,CS2_37,3,model_v1,0.08507670850767085,0.0393981591830059,0.03195298802349263
132,CALCE,CS2_37,4,lstm,0.11297071129707113,0.04108118898799179,0.023925603224193084
