dataset,test_bat,seed,model,re,rmse,mae,time
CALCE,CS2_35,5,model_v2_2,0.1232449297971918,0.0208083385894982,0.0166979202720045,559.8947927951813
CALCE,CS2_35,5,model_v4_1,0.0608424336973478,0.0136868746023115,0.0105398907301051,1323.7851152420044
CALCE,CS2_35,5,model_v5,0.0998439937597504,0.0156699923349409,0.0116556648843975,604.0843863487244
CALCE,CS2_36,1,model_v2_2,0.4165067178502879,0.0324996063278004,0.0289436789605982,549.0414493083954
CALCE,CS2_36,1,model_v4_1,0.4357005758157389,0.0315787735688251,0.0276315871216208,1297.661569595337
CALCE,CS2_36,1,model_v5,0.3416506717850288,0.0369317157135924,0.0326527426380765,601.5549147129059
CALCE,CS2_36,2,model_v2_2,0.4817658349328215,0.033390487418052,0.0288408489476549,550.5516226291656
CALCE,CS2_36,2,model_v4_1,0.4280230326295585,0.030840542553779,0.0267010511939964,1268.3052434921265
CALCE,CS2_36,2,model_v5,0.2437619961612284,0.0270418140866006,0.0200600268379289,585.7165801525116
CALCE,CS2_36,3,model_v2_2,0.4126679462571977,0.0310542761307314,0.0276701889834372,536.013808965683
CALCE,CS2_36,3,model_v4_1,0.0249520153550863,0.0513348211786312,0.0455021333976153,1262.4469039440155
CALCE,CS2_36,3,model_v5,0.4241842610364683,0.0295719249288135,0.0203764680589586,585.818963766098
CALCE,CS2_36,4,model_v2_2,0.3109404990403071,0.0314506547573988,0.0278191627643083,755.6393373012543
CALCE,CS2_36,4,model_v4_1,0.3857965451055662,0.0316572337723733,0.0273863914465916,2948.499212026596
CALCE,CS2_36,4,model_v5,0.4318618042226487,0.0321855313000911,0.0276421159082763,1691.0551896095276
CALCE,CS2_36,5,model_v2_2,0.4145873320537428,0.0309092645722673,0.0245791939754924,1292.3479857444763
CALCE,CS2_36,5,model_v4_1,0.3666026871401152,0.0363463062076357,0.0323655808621576,1953.0447473526
CALCE,CS2_36,5,model_v5,0.4337811900191938,0.0292052458258087,0.024608899774015,700.6090846061707
CALCE,CS2_37,1,model_v2_2,0.0864714086471408,0.0348664615912309,0.0200751707950104,628.1989743709564
CALCE,CS2_37,1,model_v4_1,0.103207810320781,0.0452346735285067,0.0246094404532006,1437.591323137283
CALCE,CS2_37,1,model_v5,0.1283124128312412,0.0548262423079586,0.0438835975887061,690.5001871585846
CALCE,CS2_37,2,model_v2_2,0.1269177126917712,0.0518364660907028,0.0387622630340408,624.7556502819061
CALCE,CS2_37,2,model_v4_1,0.1269177126917712,0.0496313619643302,0.0349081205903959,1433.4243898391724
CALCE,CS2_37,2,model_v5,0.1311018131101813,0.0465120848740028,0.0345896045667266,687.8849844932556
CALCE,CS2_37,3,model_v2_2,0.103207810320781,0.0530465645249798,0.0492353103688508,629.4037988185883
CALCE,CS2_37,3,model_v4_1,0.101813110181311,0.0438939627357894,0.0277652166244511,1431.9849412441254
CALCE,CS2_37,3,model_v5,0.0990237099023709,0.0599076533722984,0.052564149369756,686.4221019744873
CALCE,CS2_37,4,model_v2_2,0.1450488145048814,0.0708625092012764,0.0488858311610117,637.6249220371246
